Altium Designer Pick and Place Locations
E:\Lab Project\Lab_Project\Project Outputs for Lab_Project\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       11/02/23
Time:       18:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment   Layer    Footprint Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                
POWER      POWER     TopLayer POWER     1210.000      2470.000      90       ""                                                                                                                         
IN         IN        TopLayer AUDIO_IN  4653.425      1150.000      180      ""                                                                                                                         
OUT        OUT       TopLayer AUDIO_OUT 2190.000      4686.575      270      ""                                                                                                                         
U10        NE5532P   TopLayer NE5532P   6130.000      1730.000      0        "Dual Low-Noise High-Speed Audio Operational Amplifier, 10 to 30 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"          
U9         TL072CP   TopLayer TL0072CP  5375.000      4320.000      270      "Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" 
U8         NE5532P   TopLayer NE5532P   2920.000      3690.000      0        "Dual Low-Noise High-Speed Audio Operational Amplifier, 10 to 30 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"          
U7         NE5532P   TopLayer NE5532P   4710.000      1960.000      90       "Dual Low-Noise High-Speed Audio Operational Amplifier, 10 to 30 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"          
U6         NE5532P   TopLayer NE5532P   3295.000      1715.000      0        "Dual Low-Noise High-Speed Audio Operational Amplifier, 10 to 30 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"          
U5         TL072CP   TopLayer TL0072CP  1785.000      3850.000      0        "Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" 
U4         TL072CP   TopLayer TL0072CP  4420.000      3595.000      0        "Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" 
U3         TL072CP   TopLayer TL0072CP  6020.000      3635.000      0        "Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" 
U2         TL072CP   TopLayer TL0072CP  2640.000      2845.000      180      "Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" 
U1         TL072CP   TopLayer TL0072CP  1610.000      1605.000      90       "Dual Low-Noise JFET-Input General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" 
R47        "130 OHM" TopLayer RESI      1220.000      4609.665      270      "RES 130 OHM 5% 1/2W AXIAL"                                                                                                
R46        "750 OHM" TopLayer RESI      1460.000      4609.665      90       "RES 750 OHM 5% 1/2W AXIAL"                                                                                                
R45        1K        TopLayer RESI      1680.000      4604.665      270      "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R44        "620 OHM" TopLayer RESI      1215.000      3110.335      90       "RES 620 OHM 5% 1/2W AXIAL"                                                                                                
R43        3.6K      TopLayer RESI      2804.665      4485.000      180      "RES 3.6K OHM 5% 1/2W AXIAL"                                                                                               
R42        1.8K      TopLayer RESI      1854.665      3345.000      180      "RES 1.8K OHM 5% 1/2W AXIAL"                                                                                               
R41        11K       TopLayer RESI      2255.000      3875.335      270      "RES 11K OHM 5% 1/2W AXIAL"                                                                                                
R40        "820 OHM" TopLayer RESI      2064.665      2605.000      180      "RES 820 OHM 5% 1/2W AXIAL"                                                                                                
R39        "820 OHM" TopLayer RESI      2755.335      4150.000      0        "RES 820 OHM 5% 1/2W AXIAL"                                                                                                
R38        1K        TopLayer RESI      3345.335      4845.000      180      "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R37        1.8K      TopLayer RESI      3534.665      3785.000      180      "RES 1.8K OHM 5% 1/2W AXIAL"                                                                                               
R36        1.8K      TopLayer RESI      3880.335      4405.000      0        "RES 1.8K OHM 5% 1/2W AXIAL"                                                                                               
R35        5.6K      TopLayer RESI      4875.000      3575.335      90       "RES 5.6K OHM 5% 1/2W AXIAL"                                                                                               
R34        5.6K      TopLayer RESI      4424.665      4075.000      0        "RES 5.6K OHM 5% 1/2W AXIAL"                                                                                               
R32        2K        TopLayer RESI      4064.665      3240.000      0        "RES 2K OHM 5% 1/2W AXIAL"                                                                                                 
R31        6.8K      TopLayer RESI      3955.000      3730.335      90       "RES 6.8K OHM 5% 1/2W AXIAL"                                                                                               
R30        1K        TopLayer RESI      5865.000      4284.665      90       "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R29        "910 OHM" TopLayer RESI      5485.335      3060.000      180      "RES 910 OHM 5% 1/2W AXIAL"                                                                                                
R28        3K        TopLayer RESI      3450.000      3220.335      270      "RES 3K OHM 5% 1/2W AXIAL"                                                                                                 
R27        3K        TopLayer RESI      5490.335      2790.000      180      "RES 3K OHM 5% 1/2W AXIAL"                                                                                                 
R26        1K        TopLayer RESI      6325.000      4289.665      270      "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R24        10K       TopLayer RESI      5520.000      3585.335      90       "RES 10K OHM 5% 1/2W AXIAL"                                                                                                
R23        1K        TopLayer RESI      6520.000      3009.665      270      "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R22        1K        TopLayer RESI      6560.000      1744.665      270      "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R21        1K        TopLayer RESI      6115.335      2290.000      180      "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R20        1K        TopLayer RESI      6665.335      3570.000      0        "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R19        1K        TopLayer RESI      6825.000      3014.665      90       "RES 1K OHM 5% 1/2W AXIAL"                                                                                                 
R18        3.9K      TopLayer RESI      6845.000      1739.665      270      "RES 3.9K OHM 5% 1/2W AXIAL"                                                                                               
